Product,Quantity,Price,CustomerID
WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,17850
WHITE METAL LANTERN,6,3.39,17850
CREAM CUPID HEARTS COAT HANGER,8,2.75,17850
KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,17850
RED WOOLLY HOTTIE WHITE HEART.,6,3.39,17850
SET 7 BABUSHKA NESTING BOXES,2,7.65,17850
GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,17850
HAND WARMER UNION JACK,6,1.85,17850
HAND WARMER RED POLKA DOT,6,1.85,17850
ASSORTED COLOUR BIRD ORNAMENT,32,1.69,13047
POPPY'S PLAYHOUSE BEDROOM ,6,2.1,13047
POPPY'S PLAYHOUSE KITCHEN,6,2.1,13047
FELTCRAFT PRINCESS CHARLOTTE DOLL,8,3.75,13047
IVORY KNITTED MUG COSY ,6,1.65,13047
BOX OF 6 ASSORTED COLOUR TEASPOONS,6,4.25,13047
BOX OF VINTAGE JIGSAW BLOCKS ,3,4.95,13047
HOME BUILDING BLOCK WORD,3,5.95,13047
LOVE BUILDING BLOCK WORD,3,5.95,13047
RECIPE BOX WITH METAL HEART,4,7.95,13047
DOORMAT NEW ENGLAND,4,7.95,13047
JAM MAKING SET WITH JARS,6,4.25,13047
RED COAT RACK PARIS FASHION,3,4.95,13047
YELLOW COAT RACK PARIS FASHION,3,4.95,13047
BLUE COAT RACK PARIS FASHION,3,4.95,13047
BATH BUILDING BLOCK WORD,3,5.95,13047
ALARM CLOCK BAKELIKE PINK,24,3.75,12583
ALARM CLOCK BAKELIKE RED ,24,3.75,12583
ALARM CLOCK BAKELIKE GREEN,12,3.75,12583
PANDA AND BUNNIES STICKER SHEET,12,0.85,12583
STARS GIFT TAPE ,24,0.65,12583
VINTAGE HEADS AND TAILS CARD GAME ,24,1.25,12583
SET/2 RED RETROSPOT TEA TOWELS ,18,2.95,12583
ROUND SNACK BOXES SET OF4 WOODLAND ,24,2.95,12583
SPACEBOY LUNCH BOX ,24,1.95,12583
LUNCH BOX I LOVE LONDON,24,1.95,12583
CIRCUS PARADE LUNCH BOX ,24,1.95,12583
CHARLOTTE BAG DOLLY GIRL DESIGN,20,0.85,12583
RED TOADSTOOL LED NIGHT LIGHT,24,1.65,12583
 SET 2 TEA TOWELS I LOVE LONDON ,24,2.95,12583
VINTAGE SEASIDE JIGSAW PUZZLES,12,3.75,12583
MINI JIGSAW CIRCUS PARADE ,24,0.42,12583
MINI JIGSAW SPACEBOY,24,0.42,12583
MINI PAINT SET VINTAGE ,36,0.65,12583
HAND WARMER RED POLKA DOT,6,1.85,17850
HAND WARMER UNION JACK,6,1.85,17850
WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,17850
WHITE METAL LANTERN,6,3.39,17850
CREAM CUPID HEARTS COAT HANGER,8,2.75,17850
EDWARDIAN PARASOL RED,6,4.95,17850
RETRO COFFEE MUGS ASSORTED,6,1.06,17850
SAVE THE PLANET MUG,6,1.06,17850
VINTAGE BILLBOARD DRINK ME MUG,6,1.06,17850
VINTAGE BILLBOARD LOVE/HATE MUG,6,1.06,17850
WOOD 2 DRAWER CABINET WHITE FINISH,2,4.95,17850
WOOD S/3 CABINET ANT WHITE FINISH,4,6.95,17850
WOODEN PICTURE FRAME WHITE FINISH,6,2.1,17850
WOODEN FRAME ANTIQUE WHITE ,6,2.55,17850
KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,17850
RED WOOLLY HOTTIE WHITE HEART.,6,3.39,17850
SET 7 BABUSHKA NESTING BOXES,2,7.65,17850
GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,17850
WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,17850
WHITE METAL LANTERN,6,3.39,17850
CREAM CUPID HEARTS COAT HANGER,8,2.75,17850
EDWARDIAN PARASOL RED,6,4.95,17850
RETRO COFFEE MUGS ASSORTED,6,1.06,17850
SAVE THE PLANET MUG,6,1.06,17850
VINTAGE BILLBOARD DRINK ME MUG,6,1.06,17850
VINTAGE BILLBOARD LOVE/HATE MUG,6,1.06,17850
WOOD 2 DRAWER CABINET WHITE FINISH,2,4.95,17850
WOOD S/3 CABINET ANT WHITE FINISH,4,6.95,17850
WOODEN PICTURE FRAME WHITE FINISH,6,2.1,17850
WOODEN FRAME ANTIQUE WHITE ,6,2.55,17850
KNITTED UNION FLAG HOT WATER BOTTLE,6,3.39,17850
RED WOOLLY HOTTIE WHITE HEART.,6,3.39,17850
SET 7 BABUSHKA NESTING BOXES,2,7.65,17850
GLASS STAR FROSTED T-LIGHT HOLDER,6,4.25,17850
HAND WARMER RED POLKA DOT,6,1.85,17850
HAND WARMER UNION JACK,6,1.85,17850
JUMBO BAG PINK POLKADOT,10,1.95,14688
JUMBO  BAG BAROQUE BLACK WHITE,10,1.95,14688
JUMBO BAG CHARLIE AND LOLA TOYS,10,2.95,14688
STRAWBERRY CHARLOTTE BAG,10,0.85,14688
RED 3 PIECE RETROSPOT CUTLERY SET,12,3.75,14688
BLUE 3 PIECE POLKADOT CUTLERY SET,6,3.75,14688
SET/6 RED SPOTTY PAPER PLATES,12,0.85,14688
LUNCH BAG RED RETROSPOT,10,1.65,14688
STRAWBERRY LUNCH BOX WITH CUTLERY,6,2.55,14688
LUNCH BOX WITH CUTLERY RETROSPOT ,6,2.55,14688
PACK OF 60 DINOSAUR CAKE CASES,24,0.55,14688
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,14688
60 TEATIME FAIRY CAKE CASES,24,0.55,14688
TOMATO CHARLIE+LOLA COASTER SET,6,2.95,14688
JUMBO STORAGE BAG SUKI,10,1.95,14688
JUMBO BAG PINK VINTAGE PAISLEY,10,1.95,14688
JAM MAKING SET PRINTED,24,1.45,17809
RETROSPOT TEA SET CERAMIC 11 PC ,23,4.25,15311
GIRLY PINK TOOL SET,5,4.95,15311
JUMBO SHOPPER VINTAGE RED PAISLEY,10,1.95,15311
"AIRLINE LOUNGE,METAL SIGN",2,2.1,15311
WHITE SPOT RED CERAMIC DRAWER KNOB,6,1.25,15311
RED DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,15311
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,1.25,15311
PHOTO CLIP LINE,1,1.25,15311
FELT EGG COSY CHICKEN,1,0.85,15311
PIGGY BANK RETROSPOT ,1,2.55,15311
SKULL SHOULDER BAG,10,1.65,15311
YOU'RE CONFUSING ME METAL SIGN ,3,1.69,15311
COOK WITH WINE METAL SIGN ,1,1.95,15311
GIN + TONIC DIET METAL SIGN,2,2.1,15311
YELLOW BREAKFAST CUP AND SAUCER,1,2.95,15311
PINK BREAKFAST CUP AND SAUCER ,1,2.95,15311
PAPER CHAIN KIT 50'S CHRISTMAS ,4,2.95,15311
PAPER CHAIN KIT RETROSPOT,1,2.95,15311
SMALL HEART FLOWERS HOOK ,6,0.85,15311
PHOTO CLIP LINE,3,1.25,15311
TEA TIME DES TEA COSY,2,2.55,15311
FELT EGG COSY WHITE RABBIT ,1,0.85,15311
ZINC WILLIE WINKIE  CANDLE STICK,1,0.85,15311
CERAMIC CHERRY CAKE MONEY BANK,1,1.45,15311
RETROSPOT LARGE MILK JUG,1,4.95,15311
SET OF 6 FUNKY BEAKERS,2,2.95,15311
EDWARDIAN PARASOL BLACK,2,5.95,15311
EDWARDIAN PARASOL NATURAL,2,5.95,15311
CERAMIC STRAWBERRY CAKE MONEY BANK,4,1.45,15311
BLUE OWL SOFT TOY,1,2.95,15311
BALLOON ART MAKE YOUR OWN FLOWERS,1,1.95,15311
RED TOADSTOOL LED NIGHT LIGHT,2,1.65,15311
GLASS CLOCHE SMALL,3,3.95,15311
GUMBALL MONOCHROME COAT RACK,36,1.06,15311
DOORMAT FANCY FONT HOME SWEET HOME,10,6.75,15311
INFLATABLE POLITICAL GLOBE ,12,0.85,16098
VINTAGE SNAKES & LADDERS,8,3.75,16098
CHOCOLATE CALCULATOR,12,1.65,16098
JUMBO SHOPPER VINTAGE RED PAISLEY,10,1.95,16098
RECYCLING BAG RETROSPOT ,10,2.1,16098
ANTIQUE GLASS DRESSING TABLE POT,8,2.95,16098
ALARM CLOCK BAKELIKE GREEN,4,3.75,16098
IVORY GIANT GARDEN THERMOMETER,12,5.95,16098
WOOD BLACK BOARD ANT WHITE FINISH,3,6.45,18074
HANGING METAL HEART LANTERN,12,1.65,18074
HANGING MEDINA LANTERN SMALL,6,2.95,18074
NATURAL SLATE HEART CHALKBOARD ,12,2.95,18074
WHITE LOVEBIRD LANTERN,6,2.95,18074
CREAM HEART CARD HOLDER,4,3.95,18074
ENAMEL FLOWER JUG CREAM,3,5.95,18074
ENAMEL FIRE BUCKET CREAM,6,6.95,18074
JAM MAKING SET PRINTED,12,1.45,17420
JAM MAKING SET WITH JARS,6,4.25,17420
JUMBO BAG DOLLY GIRL DESIGN,10,1.95,17420
TRADITIONAL CHRISTMAS RIBBONS,12,1.25,17420
ORGANISER WOOD ANTIQUE WHITE ,2,8.5,17420
LUNCH BAG DOLLY GIRL DESIGN,10,1.65,17420
WHITE WIRE EGG HOLDER,36,4.95,16029
HOME BUILDING BLOCK WORD,3,5.95,16250
LOVE BUILDING BLOCK WORD,3,5.95,16250
DOORMAT FANCY FONT HOME SWEET HOME,2,7.95,16250
HOME SMALL WOOD LETTERS,3,4.95,16250
GINGHAM HEART  DOORSTOP RED,3,4.25,16250
FIVE HEART HANGING DECORATION,6,2.95,16250
HANGING METAL HEART LANTERN,12,1.65,16250
ASSORTED BOTTLE TOP  MAGNETS ,12,0.42,16250
FRIDGE MAGNETS US DINER ASSORTED,12,0.85,16250
HOMEMADE JAM SCENTED CANDLES,12,1.45,16250
FRIDGE MAGNETS LES ENFANTS ASSORTED,12,0.85,16250
ROSE CARAVAN DOORSTOP,4,6.75,16250
HEART OF WICKER SMALL,12,1.65,16250
5 HOOK HANGER MAGIC TOADSTOOL,12,1.65,16250
CHRISTMAS LIGHTS 10 REINDEER,6,8.5,12431
VINTAGE UNION JACK CUSHION COVER,8,4.95,12431
VINTAGE HEADS AND TAILS CARD GAME ,12,1.25,12431
SET OF 3 COLOURED  FLYING DUCKS,6,5.45,12431
SET OF 3 GOLD FLYING DUCKS,4,6.35,12431
RED RETROSPOT UMBRELLA,6,5.95,12431
BLACK/BLUE POLKADOT UMBRELLA,3,5.95,12431
RED DINER WALL CLOCK,2,8.5,12431
ALARM CLOCK BAKELIKE GREEN,4,3.75,12431
ALARM CLOCK BAKELIKE RED ,4,3.75,12431
BLUE DINER WALL CLOCK,2,8.5,12431
IVORY DINER WALL CLOCK,2,8.5,12431
LARGE HEART MEASURING SPOONS,24,1.65,12431
SMALL HEART MEASURING SPOONS,24,0.85,12431
CHRISTMAS LIGHTS 10 REINDEER,2,8.5,17511
JAM MAKING SET WITH JARS,12,3.75,17511
JAM MAKING SET PRINTED,12,1.45,17511
ROSE COTTAGE KEEPSAKE BOX ,8,8.5,17511
RETROSPOT LARGE MILK JUG,12,4.25,17511
RETROSPOT HEART HOT WATER BOTTLE,24,4.25,17511
KNITTED UNION FLAG HOT WATER BOTTLE,24,3.39,17511
ENGLISH ROSE HOT WATER BOTTLE,24,3.75,17511
3 STRIPEY MICE FELTCRAFT,6,1.95,13705
SET OF 6 SOLDIER SKITTLES,4,3.75,13705
TRADITIONAL WOODEN SKIPPING ROPE,12,1.25,13705
WOODEN BOX OF DOMINOES,12,1.25,13705
PARTY CONES CARNIVAL ASSORTED,12,1.25,13705
PARTY CONES CANDY ASSORTED,12,1.25,13705
PICNIC BASKET WICKER SMALL,4,5.95,13705
ASSORTED COLOUR BIRD ORNAMENT,16,1.69,13705
STAR DECORATION PAINTED ZINC ,24,0.65,13705
"FANCY FONT BIRTHDAY CARD, ",24,0.42,13408
RETROSPOT HEART HOT WATER BOTTLE,12,4.95,13408
DOG BOWL CHASING BALL DESIGN,12,3.75,13408
HAND OVER THE CHOCOLATE   SIGN ,12,2.1,13408
WHITE HANGING HEART T-LIGHT HOLDER,32,2.55,13408
TRAVEL SEWING KIT,20,1.65,13408
BLACK HEART CARD HOLDER,8,3.95,13767
ASSORTED COLOUR BIRD ORNAMENT,32,1.69,13767
PACK OF 60 PINK PAISLEY CAKE CASES,24,0.55,13767
60 TEATIME FAIRY CAKE CASES,24,0.55,13767
PACK OF 72 RETROSPOT CAKE CASES,24,0.55,13767
CHICK GREY HOT WATER BOTTLE,8,3.45,13767
